Prison Name,Latitude,Longitude,Size
Bayside,39.242017,-74.958398,2246
Bayview Correctional Facility,40.746019,-74.006901,165
Beacon,41.514268,-73.969829,168
Beadle County Regional Corrections Center,44.362306,-98.221574,26
Beaufort County Detention Center,32.438365,-80.686728,195
Beaufort County Jail,35.544096,-77.054572,89
Beaumont Low Security,29.968926,-94.073618,1986
Beauregard Parish Jail Complex,30.841891,-93.282359,166
Beaver Community Work Center,36.815628,-100.52159,12
Beaver County Jail,38.243283,-112.656089,14
Beaverhead County Jail,45.215632,-112.634274,5
Becker County Jail,46.816587,-95.846095,34
Beckley Correctional Center,37.78285,-81.171431,78
Bedford City Jail,32.842855,-97.132118,33
Bedford County Jail,35.484031,-86.460381,112
Bedford County Jail,37.337445,-79.508861,93
Bedford County Police Department,35.485345,-86.466067,64
Bedford Heights City Jail,41.404636,-81.494435,60
Bedford Hills,41.239111,-73.680765,780
Bee County Jail,28.406223,-97.730093,123
Behavior Management Systems,44.090848,-103.226859,78
Behavioral Systems Southwest- Tuscon CCC,32.135901,-110.95668,40
Beje Clark Residential Center,43.139695,-93.212214,47
Bell Center,39.960247,-82.977951,28
Bell County Forestry Camp,36.667859,-83.836387,298
Bell County Jail,36.762106,-83.696839,92
Bell County Law Enforcement Center,31.04211,-97.481921,677
Bellamy Creek Correctional Facility,42.975781,-85.103854,1843
Bellingham Work Release,48.745868,-122.477807,22
Belmont C.I.,40.08049,-80.978641,2692
Beloit Juvenile Correctional Facility,39.458644,-98.108367,12
Beltrami County Jail,47.47418,-94.881979,87
Ben Hill County Jail,31.698068,-83.257693,110
Benbrook Police Jail,32.678123,-97.451575,2
Benewah County Jail,47.314786,-116.567748,5
Benton County Detention Facility,36.337132,-94.472333,46
Benton County Jail,34.831749,-89.185586,9
Benton County Jail,36.057614,-88.097782,43
Benton County Jail,38.241918,-93.380002,18
Benton County Jail,40.617226,-87.315668,21
Benton County Jail,45.66853,-93.909635,58
Benton County Jail,46.223082,-119.217712,663
Benton Unit,34.519085,-92.652044,248
Benzie County Jail,44.625263,-86.092229,50
Bergen County Jail,39.997792,-74.791232,343
Bergen County Jail And Annex,40.873217,-74.03791,687
Bergen County Jail And Annex,40.876257,-74.038839,45
Bergin Correctional Institution,41.815564,-72.300247,1017
Berkeley County Detention Center,33.204383,-80.021486,336
Berks County Jail,40.386579,-76.01716,1078
Berkshire County Jail and House of Correction,42.486039,-73.209817,352
Bernalillo County Metropolitan Detention Center,35.08974,-106.651259,603
Berrien County Jail,31.194409,-83.263528,61
Berrien County Jail,42.110135,-86.476544,410
Berrydale Forestry Camp,30.908586,-87.021865,128
Bertie-Martin Regional Jail,35.962136,-76.935591,130
Berwick Police Department,29.693504,-91.218099,10
Bessemer City Jail,33.397331,-86.954176,47
Bethel Work Release Program,46.777618,-92.11018,45
Bi-State Justice Building:Adc Regional Corrections Center,33.419049,-94.045174,705
Bibb Correctional Facility,32.925245,-87.164289,2007
Bibb county Law Enforcement Center,32.829938,-83.636682,889
Bienville Parish Jail,32.547137,-92.925466,44
Big Horn County Detention Center,44.381829,-108.04046,45
Big Horn County Jail,45.731875,-107.607848,29
Big Muddy River Correctional Center,38.142079,-88.906198,1844
Big Pine Key Road Prison,24.672506,-81.359782,62
Big Sandy Regional Detention Center,37.826326,-82.826816,231
Big Sandy USP and Camp,37.735603,-82.611491,1579
Bingham County Jail,43.196144,-112.341866,115
Birmingham City Jail,33.496171,-86.821017,155
Birmingham Work Release Center,33.53123,-86.808394,280
Bishop Lewis House Work Release,47.605934,-122.327377,58
Black River Correctional Center,44.356536,-90.656547,98
Blackburn Correctional Complex,38.115301,-84.538999,568
Blackfeet Adult Detention Center,48.56225,-113.013344,22
Blackford County Jail,40.451325,-85.277752,91
Bladen Correctional Center,34.67592,-78.540523,163
Bladen County Jail,34.628122,-78.605674,64
Blaine County Jail,35.84598,-98.411246,33
Blaine County Jail,48.48206,-108.757381,10
Blair County Prison,40.428497,-78.391621,275
Blanco County Jail,30.277212,-98.411449,2
Bleckley County Jail,32.415041,-83.35306,51
Bleckley County Probations Center,32.41597,-83.378012,122
Bledsoe County Jail,35.601353,-85.187681,17
Blount County Correctional Facility,33.932539,-86.490029,129
Blount County Jail,35.754267,-83.957699,341
Blue Earth County Jail,44.16156,-93.936679,72
Blue Ridge Regional Jail Authority,37.41265,-79.145115,535
Blythe City Jail,33.6131,-114.597931,85
Boaz City Jail,34.195936,-86.164826,13
Bobby Joe Whitworth Probation Detention Center,34.313391,-82.937663,420
Bogalusa City Jail,30.784391,-89.858816,39
Bolduc Correctional Facility,44.070413,-69.216811,178
Bolivar County Regional Correctional Facility,33.774982,-90.816273,403
Bollinger County Jail,37.305557,-89.970856,9
Bon Homme County Jail,42.993889,-97.86617,1
Bond County Jail,38.88829,-89.412925,6
Bonner County Jail,48.308977,-116.56126,95
Bonneville Community Correctional Center,40.743447,-111.954475,69
Bonneville County Jail,43.514271,-112.015973,245
Boone County Jail,39.006796,-92.3146,176
Boone County Jail,39.033678,-84.725306,379
Boone County Jail,40.033059,-86.449512,137
Boone County Jail,41.6913,-98.001825,2
Boone County Jail,42.264947,-88.844779,71
Boone County Law Enforcement Center,36.169047,-93.028924,72
Boone County Work Camp,39.041858,-84.733322,53
Boonville Correctional Center,38.974064,-92.728411,1043
Boonville Correctional Center,38.977046,-92.73102,239
BOP: Big Springs Correctional Center,32.218774,-101.501011,1080
BOP: Big Springs Correctional Center,32.226217,-101.509441,1722
BOP: Carswell Federal Prison,32.782375,-97.411545,1606
BOP: FCI Fort Worth,32.679828,-97.287635,1641
BOP: FCI Petersburg,37.957642,-76.670281,1164
BOP: FCI Seagoville,32.655107,-96.567345,1781
BOP: FCI Three Rivers,28.423926,-98.313908,967
BOP: Giles W. Dalby Correctional Institution,33.202154,-101.375136,1995
Bosque County Jail,31.922385,-97.658018,31
Bossier City Jail,32.525863,-93.708578,60
Bossier Corrections,32.82943,-93.730211,250
Bostick State Prison,33.044235,-83.22038,347
Boston Pre-Release Center,42.291171,-71.101253,193
Botetourt County Jail,37.501503,-79.87508,98
Bottineau County Jail,48.828238,-100.450543,9
Boulder County Jail,40.034011,-105.228979,426
Boundary County Jail,48.695773,-116.314109,20
Bourbon County Jail,38.219515,-84.244972,124
Bowie-County of Texarkana-Adult Probation Department,33.42066,-94.043337,94
Box Butte County Jail,42.099684,-102.870079,11
Box Elder County Jail,41.506928,-112.037831,116
Boyd County Detention Center,38.415309,-82.598423,182
Boyer Road and Carson City Correctional Facilities,43.155202,-84.868386,2492
Boyle County Detention Center,37.627033,-84.786844,210
Bradford County Jail,29.953922,-82.109888,97
Bradley County Justice Center,35.13822,-84.879074,356
Branchville Correctional Facility,38.151443,-86.600003,1322
Brazoria County Jail,29.239048,-95.404393,810
Brazos County Jail,30.67391,-96.370556,184
Brazos County Minimum Security,30.67511,-96.400155,350
Breckinridge County Jail,37.790803,-86.481013,200
Brevard correctional Institution and Work Camp,28.443295,-80.780807,1020
Brevard County Detention Center,28.453764,-80.789091,1605
Brewster County Jail,30.359726,-103.664611,36
Bridge Halfway House,43.063384,-87.975637,89
Bridgeport Correctional,41.190363,-73.200564,910
Bridges of Jacksonville Work Release Center and Jacksonville Community Service Center,30.352606,-81.734207,134
Bridges of Pompano- Work Release Center,26.22927,-80.13045,201
Bridgewater State Hospital,41.942369,-70.955364,1010
Bridgeway,36.882085,-97.054343,127
Brinkley City Jail,34.887622,-91.193698,3
Briscoe Unit,28.659997,-99.189627,1253
Bristol City Jail,36.596954,-82.180665,124
Broad River and Kirkland Correctional Institutions,34.071102,-81.094723,4583
Broadwater County Jail,46.3217,-111.515868,25
Brookings County Jail,44.308473,-96.79445,20
Brooklyn CCC,40.695822,-73.942044,93
Brooklyn City Jail,41.437465,-81.739724,3
Brooklyn Correctional Institution,41.784071,-71.953256,458
Brooklyn House of Detention,40.689177,-73.989674,8
Brooklyn Metropolitan Detention,40.659965,-74.003892,2089
Brooks County Jail,27.22526,-98.141776,16
Broome County Jail,42.131278,-75.906115,476
Broward Correctional Institution,26.047574,-80.419356,731
Broward County- Joseph V. Conte Facility and North Broward Bureau,26.25315,-80.158011,2970
Broward County- Main Jail Bureau,26.115519,-80.142978,1291
Broward Transitional Center (Federal Immigration),26.279574,-80.146599,619
Brown County Jail,38.875323,-83.897849,68
Brown County Jail,39.852388,-95.53822,14
Brown County Jail,44.311084,-94.461986,17
Brown County Jail,45.464642,-98.48655,44
Brown County Jail and Work Release Center,44.519406,-87.927108,449
Brown County Jail- Huber Law Center,44.512945,-88.014427,246
Brownstone Work Release,47.653782,-117.412318,75
Brule County Jail,43.807508,-99.334222,14
Brunswick Correctional Center,36.784673,-77.814199,132
Brunswick County Jail,34.057297,-78.164337,254
Brunswick County Jail,36.757492,-77.847722,47
Bryan County Jail,33.993383,-96.379797,94
Bryan Federal Prison Camp,30.678146,-96.360619,824
Buchanan County Jail,39.769419,-94.854255,161
Buchanan County Jail,39.773342,-94.818449,45
Buckingham Correctional Center,37.566442,-78.474351,1075
Buena Vista Correctional Facility,38.810216,-106.116029,1235
Buffalo Correctional Facility,42.926497,-78.551404,121
Buffalo County Jail,40.689428,-99.082718,96
Buffalo County Jail,44.335348,-91.916103,27
Buffalo Federal Detention Center,43.019834,-78.201508,612
Buffalo Halfway House,42.911817,-78.860986,44
Bullitt County Jail,37.971544,-85.711909,265
Bullock Correctional Facility,32.14952,-85.682678,1495
Bullock County Correctional Institution and Bulloch County Jail,32.472692,-81.763253,505
Bullock County Jail,32.145375,-85.717086,32
Bullock County Work Release Center,32.153323,-85.721204,1
Buncombe County Jail,35.595883,-82.547751,446
Bureau County Jail,41.366517,-89.465635,18
Burke County Jail,33.076565,-81.995892,115
Burke County Jail,35.745522,-81.685228,44
Burke/ Catawba Detention Facility,35.724732,-81.679565,156
Burleigh County Detention Center,46.807494,-100.783829,109
Burleson County Jail,30.546477,-96.680914,38
Burnett County Law Enforcement Center,45.822688,-92.366688,29
Burruss Boot Camp,33.061806,-83.974784,200
Burruss Correctional Training Center,33.05893,-83.969521,580
Butler ASATC and Feeder,43.221174,-76.726354,162
Butler County Jail,31.827604,-86.617059,38
Butler County Jail,36.757208,-90.392223,79
Butler County Jail,37.225409,-86.682939,54
Butler County Jail,39.389164,-84.555773,707
Butler County Jail,41.253363,-97.129423,30
Butler County Prison,40.859545,-79.897348,205
Butler Minimum Male,43.219171,-76.725486,70
Butner Federal Correctional Complex,36.132588,-78.791595,955
Butner Federal Correctional Complex,36.153173,-78.794563,4597
Butte County Jail,39.528715,-121.573425,557
Butte County Jail,43.635896,-113.302888,2
Butte-Silver Bow Co. Det Center,46.015579,-112.538672,64
Butts County Detention Center,33.302134,-83.948451,98
C. Paul Phelps Correctional Center,30.500792,-93.43348,921
Cabarrus Correctional Center,35.409458,-80.579066,256
Cabarrus County Jail,35.40583,-80.3927,196
Cabarrus County Jail,35.408167,-80.575885,88
Cabot City Jail,34.973789,-92.016693,3
Cache County Jail,41.739888,-111.870033,294
Caddo Correctional Center,32.536347,-93.78263,1524
Caddo County Jail,35.074308,-98.246153,89
Calaveras County Jail,38.190908,-120.666857,74
Calcasieu Correctional Center and Sherrif's Prison,30.21803,-93.134635,1167
Caldwell Correctional Center,35.855651,-81.522036,238
Caldwell County Jail,29.877146,-97.656756,171
Caldwell County Jail,35.889915,-81.57278,193
Caldwell County Jail,37.109498,-87.880931,31
Caldwell County Jail,39.640682,-94.041917,118
Caldwell Parish Detention Center,32.034677,-92.135876,462
Caldwell Parish Jail,32.105396,-92.074784,40
Caledonia Correctional Institution,36.301164,-77.455017,566
Calhoun Correctional Institution,30.40478,-85.062615,1626
Calhoun County Jail,28.612902,-96.626141,48
Calhoun County Jail,30.443413,-85.042876,39
Calhoun County Jail,31.538878,-84.599952,20
Calhoun County Jail,33.540216,-92.470009,27
Calhoun County Jail,33.652401,-85.833592,409
Calhoun County Jail,33.935738,-89.341166,25
Calhoun County Jail,39.157174,-90.618512,2
Calhoun County Jail,42.316481,-85.17652,573
Calhoun State Prison,31.539935,-84.615418,4
Calhoun State Prison,31.544453,-84.625803,1621
California Correctional Center,40.407304,-120.510247,4050
California Correctional Institution,35.111123,-118.567108,5903
California Institute for Men,33.978728,-117.660982,2843
California Institute for Men and Prado Conservation Camp,33.991733,-117.677332,1932
California Institution for Women,33.948408,-117.634972,2082
California Medical Facility,38.328075,-121.977293,2695
California Men's Colony,35.323503,-120.693285,6428
California Rehabilitation Center,33.921906,-117.568113,4316
Calipatria State Prison,33.165472,-115.484688,4164
Callahan County Jail,32.39491,-99.394603,5
Callaway County Jail,38.847416,-91.931818,82
Calloway County Jail,36.613565,-88.300207,138
Calumet County Jail,44.03529,-88.168904,39
Calvert County Detention Center,38.537195,-76.625246,261
Cambria County Prison,40.48867,-78.687854,429
Camden County Correctional Facility,39.943912,-75.123656,1742
Camden County Jail,38.007878,-92.74589,104
Camden County Public Safety Facility,30.967373,-81.721281,184
Cameron County Jail,25.9076,-97.495039,186
Camille Graham Women's Correctional Institution,34.061846,-81.100027,404
Camp Branch,41.961708,-84.99542,231
Camp Cassidy Lake Special Alternative Incarceration,42.357355,-84.095647,202
Camp Georgetown,42.73128,-75.782856,148
Camp Lejeune Military Jail,34.664739,-77.324795,161
Camp Pugsley,44.542121,-85.4256,1329
Camp Sheridan,45.087218,-123.385499,443
Camp Tuscola,43.429972,-83.452832,153
Campbell County Adult Detention,37.277434,-79.102778,140
Campbell County Detention Center,44.278177,-105.511449,107
Campbell County Jail,36.330481,-84.184217,134
Campbell County Jail,39.088987,-84.496451,512
Canadian County Jail,35.535457,-97.955463,74
Candler County Jail,32.393156,-82.045206,37
Cannon County Jail,35.832062,-86.071161,56
Canteen Correctional Services: Big Spring,32.223252,-101.504384,566
Canyon County Jail,43.665612,-116.68118,719
Cape Girardeau City Jail,37.303452,-89.526744,21
Cape Girardeau County Jail,37.38475,-89.667892,33
Cape May County Jail,39.112446,-74.766811,248
Cape Vincent,44.198713,-76.189452,804
Capitol Bail Bonds,29.765501,-95.369904,276
Carbon County Jail,39.600297,-110.815012,93
Carbon County Jail,41.793382,-107.22107,56
Caribou County Jail,42.655457,-111.592183,47
Carlin Conservation Camp,40.733208,-116.08871,112
Carlton Colwell Probation Detention Center,34.87789,-83.944534,173
Carlton County Jail,46.668781,-92.41908,46
Carnegie City Jail,35.106831,-98.604596,1
Caroline County Jail,38.887953,-75.833857,101
Carroll County Correctional Institution,33.579013,-85.048159,216
Carroll County Detention Center,38.677156,-85.173335,137
Carroll County Detention Center,39.573087,-76.987058,234
Carroll County Jail,33.568795,-85.046909,560
Carroll County Jail,36.02061,-88.377241,99
Carroll County Jail,36.365995,-93.544938,95
Carroll County Jail,40.571374,-81.084461,17
Carroll County Jail,40.584682,-86.676447,39
Carroll County Jail,42.100882,-89.978318,22
Carroll/Montgomery Region Correct Center,33.410163,-89.762575,279
Carson City Jail,39.163882,-119.759939,144
Carson County Jail,35.345769,-101.381641,6
Carter County Jail,34.302024,-97.017965,91
Carter County Jail and Workhouse,36.348258,-82.209169,188
Carteret Correctional Center,34.782936,-76.848746,286
Carteret County Jail,34.719223,-76.661671,114
Carver Correctional Center,35.462597,-97.563536,275
Carver County Jail,44.786841,-93.586589,90
