Cistern #,Intersection,Latitude,Longitude,Volume,Date
149,Gambier & Felton,37.7256688,-122.4213752,75000,Unknown
150,Hamilton & Dwight,37.7224892,-122.408034,75000,Unknown
151,Ingalls & Shafter,37.72786,-122.385119,50397,Unknown
152,Peninsula & Blanken,37.7116103,-122.3990751,50395,Unknown
153,Sunnydale & Sawyer,37.7116594,-122.4150783,50395,Unknown
154,3rd & Thomas,37.7308604,-122.3921883,50397,Unknown
155,Connecticut & 20th,37.759992,-122.397461,75000,Unknown
156,Pennsylvania & 22nd,37.757714,-122.393105,75000,Unknown
157,South Van Ness & 20th,37.758644,-122.416945,74292,Unknown
158,San Bruno & 25th,37.751777,-122.402865,75000,Unknown
159,Van Ness & Post,37.778368,-122.419848,75000,Unknown
160,Van Ness & Pine,37.753882,-122.419445,75000,Unknown
161,Van Ness & Washington,37.793082,-122.42294,75000,Unknown
162,Van Ness & Broadway,37.7957575,-122.4255355,75000,Unknown
163,Van Ness & Union,37.798366,-122.423978,75000,Unknown
164,Van Ness & Lombard,37.80278,-122.44341,75000,Unknown
165,North Point & Divisadero,37.80278,-122.44341,55664,Unknown
166,Buena Vista East & Buena Vista Terrace,37.768894,-122.438485,75000,Unknown
167,Legion of Honor West,37.785174,-122.500762,75000,Unknown
168,Legion of Honor East,37.784428,-122.500188,75000,Unknown
169,Civic Center,37.779579,-122.413727,243000,Unknown
