Description,Latitude,Longitude
160826233,37.7620990020681,-122.415000536786
160819993,37.7748981937461,-122.389898139551
160811165,37.7629099368679,-122.445191652832
160808930,37.7792122590085,-122.410939205552
160796131,37.7686624037434,-122.419937703327
160789590,37.7736351065468,-122.440923876434
160752149,37.7962454397193,-122.423340546898
160750303,37.7437268170337,-122.48118317163
160731074,37.7847536577561,-122.421195221815
160730032,37.7698142360087,-122.417756708592
160719199,37.7903887572034,-122.414938763678
160710896,37.7142667343198,-122.467994568627
160708562,37.7099491573125,-122.419348416119
160697197,37.7775989759759,-122.455216836089
160696008,37.7366180913709,-122.431351280183
160686485,37.7138856796862,-122.448948938263
160685647,37.7209756888068,-122.391307417333
160682643,37.790099627367,-122.400316057286
160650402,37.7856407526644,-122.417999278691
160648009,37.7772741854354,-122.404071611406
160619652,37.7759819721841,-122.418025338851
160615321,37.7820565475813,-122.427400263419
160605855,37.7408236197194,-122.427694662516
160589817,37.7684043083075,-122.417803355796
160584174,37.739566960911,-122.406979507963
160573008,37.7135502908382,-122.436640620661
160555783,37.792148360458,-122.419381825804
160542774,37.7804777480508,-122.412515341356
160539793,37.7328555783463,-122.472918693396
160534715,37.7269905309861,-122.474899151688
160518258,37.7906117204093,-122.393413306041
160507449,37.7779765037999,-122.409391574893
160486047,37.7641937790242,-122.433075152403
160469297,37.7777992290419,-122.400302421513
160469247,37.7854818747419,-122.423031175088
160442566,37.778124778322,-122.391845617192
160436042,37.8054129166837,-122.403591933967
160435389,37.7837676393143,-122.466558183255
160434193,37.7834857455601,-122.412436901867
160429570,37.7572992974101,-122.414544668561
160426071,37.7794095734265,-122.425189655862
160410228,37.775420706711,-122.403404791479
160393204,37.778124778322,-122.391845617192
160389344,37.7880065324392,-122.399802145799
160384281,37.7140228183784,-122.471720962057
160383829,37.775420706711,-122.403404791479
160383766,37.7798294192767,-122.402842748428
160373676,37.7398702066093,-122.424147588961
160358349,37.8059780915542,-122.418382738348
160337553,37.7991423265238,-122.408407397189
160335262,37.7876453111782,-122.413056449036
160325611,37.7675856525236,-122.417791285277
160314200,37.7187542939484,-122.41167412088
160311541,37.7450305770718,-122.494032406571
160307465,37.7152360301002,-122.463441431261
160287271,37.7640068508561,-122.507801507736
160279723,37.775420706711,-122.403404791479
160269536,37.794894461049,-122.42999047331
160263500,37.7281042223657,-122.402210107735
160238412,37.7855278107726,-122.422215377725
160236165,37.7815992798838,-122.45417655784
160231422,37.775420706711,-122.403404791479
160225726,37.7994880717633,-122.409017007613
160223184,37.7650501214668,-122.419671780296
160217347,37.7287201225647,-122.46180603591
160214280,37.7536252816751,-122.49040097876
160210959,37.7846680653938,-122.397816589532
160206942,37.7838344374141,-122.412930522059
160204673,37.7534118533817,-122.495225044311
160181576,37.7106886165247,-122.447596140416
160167792,37.7379666158769,-122.406910767793
160146564,37.7396837660913,-122.465236320714
160143601,37.7731622663575,-122.471240407085
160133373,37.8052850926566,-122.423658369809
160100883,37.78123525699,-122.418809581375
160089243,37.7619868778791,-122.470466360727
160049720,37.7763700981455,-122.419507546169
160015878,37.7195125768476,-122.474776541892
160003033,37.7802607511192,-122.418600974625
151123739,37.7236571994208,-122.458189870681
150215981,37.754404748573,-122.405248327082
170521821,37.7713387826578,-122.511054248258
170503211,37.775420706711,-122.403404791479
170492567,37.755343095442,-122.406681057265
170492250,37.7970642284992,-122.405517223277
170485299,37.724950248764,-122.461208520613
170476925,37.7483157742862,-122.410549321721
170472923,37.7830733544214,-122.481793370838
170472155,37.7843096998676,-122.395163154488
170457549,37.7733973258174,-122.465882650289
170455214,37.7722400207549,-122.44489764963
170452000,37.7844743351606,-122.472052928195
170425972,37.775420706711,-122.403404791479
170423750,37.7839916768161,-122.408068345148
170413068,37.7725016986753,-122.48688034822
170410296,37.7768682383667,-122.472041312512
170400918,37.7650501214668,-122.419671780296
170395206,37.7741822530143,-122.429178876168
170382952,37.7762310404758,-122.414714295579
170378490,37.7208278326222,-122.435585299571
170358862,37.7144894576542,-122.459110001394
170357858,37.7286770057825,-122.425289624747
170355636,37.7701099298175,-122.420010175609
170355567,37.7618358012376,-122.419360352761
170354406,37.7966652983014,-122.395329662983
170352541,37.775420706711,-122.403404791479
170347069,37.7783268978785,-122.396533248456
170346914,37.775420706711,-122.403404791479
170345643,37.7668053842905,-122.417647884705
170345637,37.732438864982,-122.405610268222
170345405,37.7169710305814,-122.443431336456
170344087,37.7748078532865,-122.400983769855
170342962,37.7873381901532,-122.423404604063
170342122,37.7329487043192,-122.404658361435
170332781,37.760327629048,-122.508067688112
170322607,37.7730368445535,-122.421944172802
170322130,37.8027872160659,-122.409588744733
170319187,37.7291432281367,-122.445446458969
170316008,37.7697977168831,-122.448578484966
170315696,37.8024897590924,-122.423090882965
170314698,37.7843190300426,-122.439687134173
170312266,37.7877570602411,-122.420120319204
170309768,37.8061420853862,-122.417081753218
170301639,37.732438864982,-122.405610268222
170300120,37.775420706711,-122.403404791479
170291723,37.762993984021,-122.489984193818
170291676,37.7610072306466,-122.446434498518
170290026,37.7256933575703,-122.452289660492
170286194,37.7631671994684,-122.423962124277
170273931,37.7632996945938,-122.421733767763
170258319,37.7869408998805,-122.411518820359
170246427,37.773099482048,-122.415564465695
170237636,37.77090487409,-122.420165459336
170236804,37.7844361394126,-122.446249046947
170227847,37.7294150332369,-122.387977804168
170210789,37.7257598547537,-122.463278950857
170207792,37.7823710354886,-122.448043124454
170202980,37.7869501282366,-122.441087799449
170201885,37.7721420902937,-122.413771938125
170201835,37.7721420902937,-122.413771938125
170182166,37.7606618802723,-122.40706775926
170182069,37.7830359536166,-122.462278686054
170181356,37.7440627102667,-122.473548582675
170165156,37.7993831220076,-122.402423032514
170159284,37.7569318582039,-122.40598450618
170122510,37.7809039696758,-122.411979487494
170121368,37.7552939346637,-122.420966200659
150124871,37.7870474882864,-122.448470391223
141066309,37.7823710354886,-122.448043124454
150136553,37.7864017954155,-122.423217673913
140014301,37.7811175256377,-122.427206305932
140024811,37.7657375793742,-122.470728488949
140053490,37.7523735149599,-122.416268632715
140098167,37.7854818747419,-122.423031175088
